,posix_timestamp,Timestamp,Data share consent,Native English,Hearing impairments,Normal color vision,Impaired focus,Birth year,Gender,Ethnicity,Race,Highest degree,Undergraduate major (category),Undergraduate major (specific),Hours of sleep,Cups of coffee,Alertness,Khan Academy user,Khan courses watched,Khan subjects watched,Math courses,Science and engineering courses,Other platform subjects,In-person subjects,Watched Four Fundamental Fources,Watched Birth of Stars
29,1.55853E+12,2019/05/22 8:05:50 AM EST,Yes,Yes,No,Yes,No,2000,Male,Not Hispanic or Latino,White,High school graduate,"Social sciences (e.g. psychology, sociology, economics, political science, linguistics, anthropology, archaeology, etc.)",undeclared ,6-Apr,0,A little sluggish,No,,,,,,,,
30,1.55853E+12,2019/05/22 8:57:24 AM EST,Yes,No,No,Yes,No,1998,Female,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Some college,"Social sciences (e.g. psychology, sociology, economics, political science, linguistics, anthropology, archaeology, etc.);Professional (pre-medical, pre-law, nursing, etc.)",Undeclared but Sociology mod Anthro,6-Apr,0,A little sluggish,Yes,10+,Math;Science & engineering;Test prep,Pre-algebra;Algebra 1;Precalculus;Multivariable Calculus;Differential Equations;Linear Algebra,Physics;Chemistry,Math;Science & engineering;Test prep,None of the above,No,No
31,1.55854E+12,2019/05/22 10:54:32 AM EST,Yes,Yes,Yes,No,No,1999,Female,Not Hispanic or Latino,Black or African American,High school graduate,"Social sciences (e.g. psychology, sociology, economics, political science, linguistics, anthropology, archaeology, etc.)",undeclared,4-Feb,0,Neutral,Yes,5-Mar,"Math;Science & engineering;College, careers, & more",Algebra 1;AP Calculus BC,AP Physics 1;AP Chemistry,Math,None of the above,No,No
32,1.55864E+12,2019/05/23 1:36:16 PM EST,Yes,Yes,No,Yes,No,1998,Female,Not Hispanic or Latino,White,Some college,"Social sciences (e.g. psychology, sociology, economics, political science, linguistics, anthropology, archaeology, etc.);Mathematics and engineering (mathematics, electrical engineering, mechanical engineering, computer science, software engineering, human-computer-interactions, etc.)",Engineering modified with psychology,8-Jun,0,Fairly alert,Yes,10+,Math;Science & engineering;Test prep,AP Calculus BC;Multivariable Calculus,Physics;AP Physics 1;Chemistry,None of the above,Math;Science & engineering;Computing;Arts & humanities;Test prep,No,No
33,1.55896E+12,2019/05/27 8:07:03 AM EST,Yes,Yes,No,Yes,No,1997,Female,Not Hispanic or Latino,White,Some college,"Natural sciences (e.g. physics, chemistry, biology, neuroscience);Professional (pre-medical, pre-law, nursing, etc.)",Neuroscience,8-Jun,0,Neutral,Yes,10-May,Math;Science & engineering;Test prep,Algebra 2,Physics;Chemistry;Biology,Math;Science & engineering,Math;Science & engineering;Arts & humanities;Economics & finance;Test prep,No,No
34,1.55914E+12,2019/05/29 8:07:39 AM EST,Yes,Yes,No,Yes,No,2000,Female,Not Hispanic or Latino,White,Some college,"Social sciences (e.g. psychology, sociology, economics, political science, linguistics, anthropology, archaeology, etc.)",undeclared,8-Jun,1,A little sluggish,Yes,2-Jan,Math,AP Calculus AB,None of the above,Math,Math;Science & engineering;Computing;Arts & humanities,No,No
35,1.55914E+12,2019/05/29 10:38:52 AM EST,Yes,Yes,No,Yes,No,2000,Female,Hispanic or Latino,Asian;Black or African American,High school graduate,"Social sciences (e.g. psychology, sociology, economics, political science, linguistics, anthropology, archaeology, etc.)",undeclared,8-Jun,0,Fairly alert,Yes,10-May,Math;Test prep,Algebra 2;AP Calculus AB,None of the above,Computing,Math;Science & engineering;Computing;Arts & humanities;Economics & finance;Test prep,No,No
36,1.57116E+12,2019/10/15 11:25:40 AM EST,Yes,Yes,No,Yes,No,2001,Male,Not Hispanic or Latino,Asian,Some college,"Natural sciences (e.g. physics, chemistry, biology, neuroscience)",Undeclared,8-Jun,1,Fairly alert,Yes,10+,Math;Science & engineering;Test prep,None of the above,None of the above,None of the above,"Math;Science & engineering;Arts & humanities;Test prep;College, careers, & more",No,No
37,1.57116E+12,2019/10/15 12:19:56 PM EST,Yes,Yes,No,Yes,No,2001,Female,Not Hispanic or Latino,White,High school graduate,"Natural sciences (e.g. physics, chemistry, biology, neuroscience);Professional (pre-medical, pre-law, nursing, etc.)",Undecided,6-Apr,0,Neutral,Yes,10+,Math;Science & engineering;Economics & finance,Pre-algebra;Algebra 1;Geometry;Algebra 2;Trigonometry,Chemistry;High school Biology,None of the above,"Math;Science & engineering;Computing;Arts & humanities;Economics & finance;Test prep;College, careers, & more",No,No
38,1.57116E+12,2019/10/15 1:09:58 PM EST,Yes,Yes,No,Yes,No,2000,Female,Not Hispanic or Latino,White,Some college,"Social sciences (e.g. psychology, sociology, economics, political science, linguistics, anthropology, archaeology, etc.)",undeclared,8-Jun,0,A little sluggish,Yes,10+,Math;Science & engineering,Differential Equations;Linear Algebra,AP Biology,None of the above,Math;Science & engineering;Test prep,No,No
39,1.57117E+12,2019/10/15 2:05:26 PM EST,Yes,Yes,No,Yes,No,2000,Male,Not Hispanic or Latino,White,Some college,"Natural sciences (e.g. physics, chemistry, biology, neuroscience);Social sciences (e.g. psychology, sociology, economics, political science, linguistics, anthropology, archaeology, etc.)",Neuroscience,8-Jun,0,Fairly alert,Yes,10-May,Math;Science & engineering;Test prep,AP Calculus BC,Physics;Chemistry,Science & engineering,"Math;Science & engineering;Arts & humanities;Economics & finance;College, careers, & more",No,No
40,1.57117E+12,2019/10/15 2:54:45 PM EST,Yes,Yes,No,Yes,No,2000,Male,Not Hispanic or Latino,Asian,High school graduate,"Natural sciences (e.g. physics, chemistry, biology, neuroscience)",undeclared,8+,0,Very sluggish,Yes,2-Jan,Math,AP Calculus BC,None of the above,Math,Math;Science & engineering;Computing;Arts & humanities;Economics & finance;Test prep,No,No
41,1.57132E+12,2019/10/17 8:11:56 AM EST,Yes,Yes,No,Yes,No,2001,Female,Not Hispanic or Latino,White,Some college,"Social sciences (e.g. psychology, sociology, economics, political science, linguistics, anthropology, archaeology, etc.)",undeclared,8-Jun,0,A little sluggish,No,,,,,,,,
42,1.57132E+12,2019/10/17 9:04:49 AM EST,Yes,Yes,No,Yes,No,2001,Male,Not Hispanic or Latino,Asian,Some college,"Mathematics and engineering (mathematics, electrical engineering, mechanical engineering, computer science, software engineering, human-computer-interactions, etc.)",Undeclared First Year,8-Jun,0,Neutral,Yes,10-May,Math;Science & engineering;Test prep,Early Math;Arithmetic;Pre-algebra;Algebra 1;Geometry;Algebra 2;Trigonometry;Precalculus;Statistics & Probability;AP Calculus AB;AP Calculus BC,Chemistry;AP Chemistry,None of the above,"Math;Science & engineering;Computing;Arts & humanities;College, careers, & more",No,No
43,1.57132E+12,2019/10/17 9:52:34 AM EST,Yes,Yes,No,Yes,No,2001,Female,Not Hispanic or Latino,White,High school graduate,"Humanities (history, foreign language, literature, writing, communications, film, etc.)",undeclared,8+,0,A little sluggish,Yes,5-Mar,Math;Test prep,Algebra 2;Trigonometry;Precalculus,None of the above,Math;Test prep,Math;Science & engineering;Arts & humanities;Economics & finance;Test prep,No,No
44,1.57184E+12,2019/10/23 8:37:05 AM EST,Yes,Yes,No,Yes,No,2000,Female,Not Hispanic or Latino,Asian,Some college,"Social sciences (e.g. psychology, sociology, economics, political science, linguistics, anthropology, archaeology, etc.)",economics,8-Jun,1,Fairly alert,Yes,10+,Math;Science & engineering;Economics & finance;Test prep,Algebra 1;Geometry;Trigonometry;Precalculus;Statistics & Probability;AP Calculus AB,AP Biology,Math;Science & engineering;Computing;Economics & finance,Math;Science & engineering;Computing;Arts & humanities;Economics & finance;Test prep,No,No
45,1.57184E+12,2019/10/23 10:21:44 AM EST,Yes,Yes,No,Yes,No,2000,Female,Not Hispanic or Latino,White,Some college,"Natural sciences (e.g. physics, chemistry, biology, neuroscience)",undeclared,8-Jun,1,A little sluggish,Yes,10+,Math,Pre-algebra;Algebra 1;Geometry;Algebra 2;Trigonometry;Precalculus;AP Calculus AB,AP Biology,Test prep,Math;Science & engineering;Arts & humanities;Economics & finance;Test prep,No,No
46,1.57192E+12,2019/10/24 8:34:37 AM EST,Yes,Yes,No,Yes,No,2001,Female,Not Hispanic or Latino,White,High school graduate,"Social sciences (e.g. psychology, sociology, economics, political science, linguistics, anthropology, archaeology, etc.);Humanities (history, foreign language, literature, writing, communications, film, etc.)",undeclared,6-Apr,0,A little sluggish,Yes,5-Mar,Math,Pre-algebra;Algebra 1,None of the above,Science & engineering;Arts & humanities,Math;Science & engineering;Arts & humanities;Test prep,No,No
47,1.57193E+12,2019/10/24 9:25:01 AM EST,Yes,Yes,No,Yes,No,1999,Female,Not Hispanic or Latino,White,Some college,"Professional (pre-medical, pre-law, nursing, etc.)",biology (is the plan),8-Jun,0,Neutral,Yes,10+,Math;Science & engineering,None of the above,None of the above,None of the above,Math;Science & engineering;Arts & humanities;Economics & finance;Test prep,No,No
48,1.57193E+12,2019/10/24 10:15:26 AM EST,Yes,Yes,No,Yes,No,2000,Female,Hispanic or Latino,Prefer not to say,Bachelor's degree,"Natural sciences (e.g. physics, chemistry, biology, neuroscience);Professional (pre-medical, pre-law, nursing, etc.)",undeclared,8-Jun,0,Fairly alert,Yes,2-Jan,Math;Science & engineering;Test prep,AP Calculus AB,Biology;Health & Medicine,Test prep,Math;Science & engineering;Computing;Arts & humanities;Economics & finance,No,No
49,1.57202E+12,2019/10/25 10:28:34 AM EST,Yes,Yes,No,Yes,No,2001,Female,Not Hispanic or Latino,Asian;White,High school graduate,"Social sciences (e.g. psychology, sociology, economics, political science, linguistics, anthropology, archaeology, etc.)",Undeclared,8-Jun,0,A little sluggish,Yes,10+,Math;Science & engineering,Trigonometry;Precalculus,Physics,None of the above,Math;Science & engineering;Arts & humanities;Economics & finance;Test prep,No,No
